District,Year,Season,Average_Yield,Production,Sown_Extent,Harvested_Extent,avg_temp,max_temp,min_temp,total_rainfall,total_rain,rainy_days,wind_speed,evapotranspiration,pH,soil_type,zone,temp_range,rain_per_day,harvest_ratio,water_stress
COLOMBO,1996,Yala,2080.0,2.2,1369.0,1255.0,26.62,29.35,24.63,1230.9,1230.9,171.0,15.74,668.86,4.4,Red Yellow Podzolic,Wet,4.720000000000002,7.15639534883721,0.916058394160584,0.5429499147658089
COLOMBO,1997,Maha,3220.0,14.6,5354.0,5337.0,26.07,29.77,23.43,1544.0,1544.0,136.0,11.49,698.36,4.4,Red Yellow Podzolic,Wet,6.34,11.27007299270073,0.9966386554621849,0.4520129449838188
COLOMBO,1997,Yala,2032.0,2.9,1730.0,1695.0,26.92,29.93,24.7,1169.7,1169.7,175.0,14.79,709.79,4.4,Red Yellow Podzolic,Wet,5.23,6.646022727272728,0.9792027729636048,0.6062953788331766
COLOMBO,1998,Maha,3442.0,14.4,4912.0,4905.0,26.52,29.72,24.12,1340.7,1340.7,131.0,13.78,666.04,4.4,Red Yellow Podzolic,Wet,5.599999999999998,10.156818181818181,0.9983716670059027,0.4964149959007229
COLOMBO,1998,Yala,2532.0,0.9,439.0,412.0,27.71,30.71,25.56,1349.4,1349.4,176.0,15.08,725.92,4.4,Red Yellow Podzolic,Wet,5.150000000000002,7.623728813559323,0.9363636363636364,0.5375592417061611
COLOMBO,1999,Maha,3209.0,12.5,4799.0,4559.0,25.62,29.03,23.21,1327.7,1327.7,137.0,13.7,652.58,4.4,Red Yellow Podzolic,Wet,5.82,9.621014492753623,0.9497916666666667,0.491141717468202
COLOMBO,1999,Yala,2517.0,7.3,3380.0,3380.0,26.2,28.7,24.34,1399.6,1399.6,172.0,16.11,648.43,4.4,Red Yellow Podzolic,Wet,4.359999999999999,8.090173410404624,0.9997042295178941,0.46296587176924175
COLOMBO,2000,Maha,3518.0,12.4,4137.0,4136.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9995166747220879,0.5579103717535223
COLOMBO,2000,Maha,3518.0,12.4,3857.0,4136.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,1.0720580611715915,0.5579103717535223
COLOMBO,2000,Maha,3518.0,12.4,4137.0,3855.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9316094731754471,0.5579103717535223
COLOMBO,2000,Maha,3518.0,12.4,3857.0,3855.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9992223950233281,0.5579103717535223
COLOMBO,2000,Maha,3723.0,12.4,4137.0,4136.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9995166747220879,0.5579103717535223
COLOMBO,2000,Maha,3723.0,12.4,3857.0,4136.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,1.0720580611715915,0.5579103717535223
COLOMBO,2000,Maha,3723.0,12.4,4137.0,3855.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9316094731754471,0.5579103717535223
COLOMBO,2000,Maha,3723.0,12.4,3857.0,3855.0,25.73,28.99,23.36,1177.2,1177.2,140.0,13.85,657.33,4.4,Red Yellow Podzolic,Wet,5.629999999999999,8.348936170212767,0.9992223950233281,0.5579103717535223
COLOMBO,2000,Yala,2733.0,2.3,1080.0,1076.0,26.39,28.95,24.5,1263.4,1263.4,174.0,15.77,650.26,4.4,Red Yellow Podzolic,Wet,4.449999999999999,7.219428571428572,0.9953746530989824,0.5142834546029736
COLOMBO,2001,Maha,3576.0,13.7,4494.0,4494.0,25.77,29.02,23.36,1010.4,1010.4,144.0,13.16,652.51,4.4,Red Yellow Podzolic,Wet,5.66,6.968275862068966,0.9997775305895439,0.6451552303737393
COLOMBO,2001,Yala,2698.0,2.2,954.0,954.0,26.7,29.37,24.7,1222.4,1222.4,177.0,15.29,682.93,4.4,Red Yellow Podzolic,Wet,4.670000000000002,6.867415730337079,0.9989528795811519,0.5582229851234264
COLOMBO,2002,Maha,3280.0,12.4,4677.0,4444.0,26.21,29.73,23.62,1277.9,1277.9,138.0,12.83,685.55,4.4,Red Yellow Podzolic,Wet,6.109999999999999,9.193525179856115,0.9499786233433091,0.5360466025490656
COLOMBO,2002,Yala,2464.0,4.4,2070.0,1966.0,26.87,29.72,24.85,1272.8,1272.8,176.0,15.13,691.18,4.4,Red Yellow Podzolic,Wet,4.869999999999997,7.190960451977401,0.9492998551424433,0.5426126550478881
COLOMBO,2003,Maha,3568.0,13.4,4430.0,4425.0,26.14,29.64,23.62,1097.6,1097.6,128.0,13.24,678.46,4.4,Red Yellow Podzolic,Wet,6.02,8.508527131782945,0.998645903859174,0.6175678135809213
COLOMBO,2003,Yala,2318.0,3.3,1792.0,1649.0,26.76,29.58,24.77,1462.3,1462.3,176.0,14.67,659.61,4.4,Red Yellow Podzolic,Wet,4.809999999999999,8.261581920903955,0.9196876742889013,0.45076881022346754
COLOMBO,2004,Maha,3251.0,12.7,4594.0,4592.0,26.33,30.08,23.71,1520.7,1520.7,142.0,13.02,690.12,4.4,Red Yellow Podzolic,Wet,6.369999999999997,10.634265734265735,0.9993471164309031,0.45351909049089834
COLOMBO,2004,Yala,2562.0,2.3,1070.0,1057.0,26.77,29.49,24.87,1335.3,1335.3,178.0,15.91,663.94,4.4,Red Yellow Podzolic,Wet,4.619999999999997,7.459776536312849,0.9869281045751634,0.4968495098406047
COLOMBO,2005,Maha,3275.0,12.3,4422.0,4416.0,26.01,29.27,23.66,1251.1,1251.1,127.0,13.79,649.99,4.4,Red Yellow Podzolic,Wet,5.609999999999999,9.77421875,0.9984173637802397,0.5191198786039454
COLOMBO,2005,Yala,2431.0,4.7,2263.0,2257.0,26.86,29.57,24.9,1146.6,1146.6,178.0,14.49,676.26,4.4,Red Yellow Podzolic,Wet,4.670000000000002,6.4055865921787705,0.9969081272084805,0.5892819797838968
COLOMBO,2006,Maha,3033.0,8.9,3354.0,3349.0,25.97,29.46,23.56,2005.4,2005.4,138.0,13.53,653.75,4.4,Red Yellow Podzolic,Wet,5.900000000000002,14.427338129496404,0.9982116244411326,0.325832336523126
COLOMBO,2006,Yala,2537.0,1.0,480.0,456.0,26.74,29.43,24.71,1204.2,1204.2,171.0,14.98,671.87,4.4,Red Yellow Podzolic,Wet,4.719999999999999,7.001162790697674,0.9480249480249481,0.5574759376037172
COLOMBO,2007,Maha,3502.0,11.2,3767.0,3767.0,26.14,29.64,23.5,944.3,944.3,119.0,13.64,684.22,4.4,Red Yellow Podzolic,Wet,6.140000000000001,7.869166666666667,0.9997346072186837,0.7238125462816037
COLOMBO,2007,Yala,3346.0,2.5,879.0,878.0,26.84,29.64,24.85,1556.2,1556.2,168.0,14.55,670.63,4.4,Red Yellow Podzolic,Wet,4.789999999999999,9.20828402366864,0.9977272727272727,0.43066401232982277
COLOMBO,2008,Maha,3554.0,13.6,4506.0,4504.0,25.94,29.27,23.39,1191.1,1191.1,136.0,12.5,672.63,4.4,Red Yellow Podzolic,Wet,5.879999999999999,8.694160583941605,0.9993343687597072,0.5642395772166765
COLOMBO,2008,Yala,3172.0,10.3,3832.0,3809.0,26.18,28.76,24.41,1792.9,1792.9,182.0,14.52,621.16,4.4,Red Yellow Podzolic,Wet,4.350000000000001,9.797267759562843,0.9937385859639969,0.34626233346340374
COLOMBO,2009,Maha,3505.0,14.2,4764.0,4763.0,26.22,29.71,23.59,1227.0,1227.0,132.0,13.14,694.36,4.4,Red Yellow Podzolic,Wet,6.120000000000001,9.225563909774436,0.9995802728226653,0.5654397394136808
COLOMBO,2009,Yala,3004.0,9.2,3615.0,3603.0,26.74,29.4,24.86,1302.8,1302.8,181.0,15.19,661.68,4.4,Red Yellow Podzolic,Wet,4.539999999999999,7.158241758241758,0.9964048672566371,0.5075011504832029
COLOMBO,2010,Maha,2706.0,10.6,4651.0,4625.0,26.07,29.14,23.83,1462.0,1462.0,141.0,13.67,627.88,4.4,Red Yellow Podzolic,Wet,5.310000000000002,10.295774647887324,0.9941960447119519,0.42917293233082704
COLOMBO,2010,Yala,3209.0,7.2,2656.0,2656.0,27.03,29.75,25.16,1474.7,1474.7,175.0,14.83,656.92,4.4,Red Yellow Podzolic,Wet,4.59,8.378977272727273,0.9996236356793377,0.4451582299925459
COLOMBO,2011,Maha,3477.0,13.6,4617.0,4616.0,25.72,28.82,23.5,1296.1,1296.1,144.0,14.16,613.87,4.4,Red Yellow Podzolic,Wet,5.32,8.938620689655172,0.9995669120831528,0.4732634338138926
COLOMBO,2011,Yala,2999.0,6.0,2378.0,2343.0,26.59,29.27,24.66,1183.3,1183.3,178.0,15.23,671.74,4.4,Red Yellow Podzolic,Wet,4.609999999999999,6.610614525139664,0.9848675914249685,0.5672042556784599
COLOMBO,2012,Maha,3597.0,12.4,4062.0,4062.0,26.02,29.42,23.54,1411.7,1411.7,132.0,12.43,659.87,4.4,Red Yellow Podzolic,Wet,5.880000000000003,10.614285714285714,0.9997538764459759,0.46709846393431015
COLOMBO,2012,Yala,3002.0,2.3,910.0,906.0,26.72,29.26,24.78,1010.5,1010.5,172.0,15.63,684.32,4.4,Red Yellow Podzolic,Wet,4.48,5.841040462427745,0.9945115257958288,0.6765397923875432
COLOMBO,2013,Maha,3551.0,11.2,3765.0,3726.0,26.0,29.17,23.59,1053.7,1053.7,127.0,14.53,663.58,4.4,Red Yellow Podzolic,Wet,5.580000000000002,8.23203125,0.9893786510886883,0.6291646913814355
COLOMBO,2013,Yala,2522.0,2.7,1257.0,1247.0,26.7,29.25,24.85,1430.3,1430.3,177.0,15.13,658.12,4.4,Red Yellow Podzolic,Wet,4.399999999999999,8.035393258426966,0.9912559618441972,0.45980577097743314
COLOMBO,2014,Maha,3431.0,10.2,3484.0,3482.0,26.22,29.62,23.79,1565.9,1565.9,142.0,13.32,658.81,4.4,Red Yellow Podzolic,Wet,5.830000000000002,10.95034965034965,0.9991391678622669,0.4204544004084497
COLOMBO,2014,Yala,3073.0,2.6,983.0,978.0,27.13,29.96,25.14,1124.6,1124.6,172.0,14.89,696.39,4.4,Red Yellow Podzolic,Wet,4.82,6.50057803468208,0.9939024390243902,0.618683368869936
COLOMBO,2015,Maha,3414.0,8.38,2896.0,2888.0,26.33,29.72,23.91,1679.1,1679.1,137.0,12.42,653.13,4.4,Red Yellow Podzolic,Wet,5.809999999999999,12.167391304347825,0.9968933379357956,0.3887447175763348
COLOMBO,2015,Yala,2275.0,2.5,1309.0,1302.0,27.04,29.85,24.99,1248.8,1248.8,177.0,14.36,700.15,4.4,Red Yellow Podzolic,Wet,4.860000000000003,7.015730337078652,0.9938931297709923,0.5602096335413667
COLOMBO,2016,Maha,3437.0,6.55,2242.0,2241.0,26.75,30.21,24.12,669.3,669.3,128.0,13.73,733.94,4.4,Red Yellow Podzolic,Wet,6.09,5.188372093023255,0.9991083370485956,1.0949425630314786
COLOMBO,2016,Yala,2567.0,0.87,402.0,398.0,27.58,30.37,25.6,1454.4,1454.4,176.0,15.54,711.68,4.4,Red Yellow Podzolic,Wet,4.77,8.216949152542373,0.9875930521091811,0.48899271677889233
COLOMBO,2017,Maha,3458.0,9.35,3183.0,3183.0,25.94,29.1,23.4,1557.2,1557.2,141.0,17.03,669.67,4.4,Red Yellow Podzolic,Wet,5.700000000000003,10.966197183098592,0.9996859296482412,0.429771531254011
COLOMBO,2017,Yala,2720.0,2.1,946.0,908.0,27.22,29.42,25.27,1597.6,1597.6,180.0,18.32,708.86,4.4,Red Yellow Podzolic,Wet,4.150000000000002,8.826519337016574,0.9588173178458289,0.4434254973101464
COLOMBO,2018,Maha,3509.0,9.64,3232.0,3232.0,26.08,29.47,23.31,953.5,953.5,139.0,15.71,705.37,4.4,Red Yellow Podzolic,Wet,6.16,6.810714285714286,0.9996906897618311,0.7389942378208486
COLOMBO,2018,Yala,3259.0,3.25,1175.0,1174.0,26.67,28.98,24.79,1484.1,1484.1,183.0,18.02,669.65,4.4,Red Yellow Podzolic,Wet,4.190000000000001,8.065760869565217,0.9982993197278912,0.45091239647161807
COLOMBO,2019,Maha,3521.0,8.57,2864.0,2864.0,26.13,29.46,23.6,1554.3,1554.3,162.0,14.96,658.61,4.4,Red Yellow Podzolic,Wet,5.859999999999999,9.535582822085889,0.999650959860384,0.4234617115669003
COLOMBO,2019,Yala,3064.0,2.05,892.0,788.0,27.56,30.0,25.37,1208.9,1208.9,177.0,18.19,726.89,4.4,Red Yellow Podzolic,Wet,4.629999999999999,6.7915730337078655,0.8824188129899216,0.6007851888585833
COLOMBO,2020,Yala,3281.0,8.98,3219.0,3219.0,27.44,29.88,25.3,1214.1,1214.1,175.0,17.26,709.24,4.4,Red Yellow Podzolic,Wet,4.579999999999998,6.898295454545454,0.9996894409937889,0.5836885853016213
COLOMBO,2021,Maha,2521.0,8.17,3830.0,3811.0,25.97,28.99,23.53,1564.0,1564.0,157.0,16.43,654.12,4.4,Red Yellow Podzolic,Wet,5.459999999999997,9.89873417721519,0.9947794309579744,0.4179680511182109
COLOMBO,2021,Yala,2455.0,4.9,2521.0,2348.0,26.86,29.15,24.88,1532.3,1532.3,180.0,17.83,692.32,4.4,Red Yellow Podzolic,Wet,4.27,8.46574585635359,0.9310071371927042,0.45152285919259116
COLOMBO,2022,Maha,2855.0,10.22,4215.0,4211.0,25.85,29.23,23.08,1193.6,1193.6,161.0,16.78,699.52,4.4,Red Yellow Podzolic,Wet,6.150000000000002,7.367901234567901,0.9988140417457305,0.585568391093253
COLOMBO,2022,Yala,2207.0,5.41,2880.0,2880.0,26.7,29.1,24.61,1610.2,1610.2,177.0,19.09,713.96,4.4,Red Yellow Podzolic,Wet,4.490000000000002,9.046067415730338,0.9996528982992017,0.4431231380337637
COLOMBO,2023,Maha,3402.0,10.55,3657.0,3648.0,25.61,29.09,23.11,2171.2,2171.2,160.0,15.67,635.69,4.4,Red Yellow Podzolic,Wet,5.98,13.485714285714284,0.9972662657189721,0.29264800662922386
COLOMBO,2023,Yala,2371.0,4.46,2218.0,2215.0,26.98,29.68,24.64,1296.7,1296.7,181.0,17.33,744.32,4.4,Red Yellow Podzolic,Wet,5.039999999999999,7.124725274725275,0.9981973862100045,0.5735686214071049
COLOMBO,2024,Maha,2870.0,8.05,3309.0,3300.0,26.51,29.89,23.83,1381.6,1381.6,159.0,16.12,708.39,4.4,Red Yellow Podzolic,Wet,6.060000000000002,8.635,0.9969788519637462,0.5123607695645884
COLOMBO,2024,Yala,1975.0,2.58,1579.0,1538.0,27.46,30.18,25.03,1919.0,1919.0,174.0,18.44,743.11,4.4,Red Yellow Podzolic,Wet,5.149999999999999,10.965714285714286,0.9734177215189873,0.38703645833333333
COLOMBO,2025,Yala,2584.4464002414006,4.42,2011.694619010292,2011.694619010292,27.25,29.81,24.94,1313.7,1313.7,179.0,16.34,759.73,4.4,Red Yellow Podzolic,Wet,4.869999999999997,7.298333333333334,0.9995031536376384,0.5778732790750741
GALLE,1979,Maha,1775.0,55.4,18972.0,18188.0,25.85,28.2,24.1,1614.3,1614.3,169.0,11.57,650.02,4.5,Red Yellow Podzolic,Wet,4.099999999999998,9.495882352941177,0.9586254150635113,0.40241441218349533
GALLE,1979,Yala,1375.0,19.4,19583.0,17968.0,26.74,28.69,25.17,1070.8,1070.8,173.0,16.86,742.4,4.5,Red Yellow Podzolic,Wet,3.5199999999999996,6.154022988505747,0.9174836601307189,0.6926665422653481
GALLE,1980,Maha,2135.0,56.7,19618.0,19293.0,25.98,28.3,24.09,1062.1,1062.1,158.0,12.88,710.19,4.5,Red Yellow Podzolic,Wet,4.210000000000001,6.679874213836477,0.9833834548142107,0.6680368732950805
GALLE,1980,Yala,1730.0,22.5,17121.0,16594.0,26.8,28.81,25.09,1220.5,1220.5,175.0,16.98,733.02,4.5,Red Yellow Podzolic,Wet,3.719999999999999,6.934659090909091,0.9691624810185726,0.6000982398690135
GALLE,1981,Maha,2181.0,44.8,20393.0,20197.0,25.74,28.08,23.82,878.8,878.8,132.0,12.85,712.34,4.5,Red Yellow Podzolic,Wet,4.259999999999998,6.607518796992481,0.9903402961655389,0.8096612866560583
GALLE,1981,Yala,1741.0,26.3,20217.0,19297.0,26.58,28.49,25.07,1191.2,1191.2,181.0,16.61,714.02,4.5,Red Yellow Podzolic,Wet,3.419999999999998,6.545054945054945,0.9544465327925611,0.5989095789297098
GALLE,1982,Maha,2141.0,54.8,20803.0,20420.0,25.77,28.2,23.88,1272.4,1272.4,162.0,11.34,671.79,4.5,Red Yellow Podzolic,Wet,4.32,7.806134969325154,0.9815420111517016,0.5275561488927281
GALLE,1982,Yala,1683.0,24.3,20444.0,18423.0,26.51,28.42,24.98,1373.4,1373.4,181.0,16.21,707.24,4.5,Red Yellow Podzolic,Wet,3.4400000000000013,7.546153846153847,0.9011005135730007,0.514580908032596
GALLE,1983,Maha,2383.0,37.7,20423.0,20164.0,26.07,28.36,24.2,969.2,969.2,148.0,12.98,695.46,4.5,Red Yellow Podzolic,Wet,4.16,6.504697986577182,0.9872698785742264,0.7168212739641311
GALLE,1983,Yala,1361.0,9.0,9547.0,8409.0,27.19,29.27,25.5,1029.5,1029.5,161.0,16.82,747.05,4.5,Red Yellow Podzolic,Wet,3.7699999999999996,6.354938271604938,0.8807080016757436,0.7249393498301795
GALLE,1984,Maha,2326.0,36.4,20068.0,19981.0,25.57,27.73,23.92,1375.5,1375.5,166.0,13.13,654.42,4.5,Red Yellow Podzolic,Wet,3.8099999999999987,8.236526946107784,0.9956151278090587,0.4754231747184889
GALLE,1984,Yala,1967.0,29.5,20095.0,19138.0,26.21,28.01,24.75,1375.4,1375.4,170.0,18.03,688.27,4.5,Red Yellow Podzolic,Wet,3.2600000000000016,8.04327485380117,0.9523288216560509,0.5000508573089217
GALLE,1985,Maha,2341.0,37.6,20549.0,20478.0,25.57,27.76,23.89,1515.8,1515.8,162.0,12.76,646.33,4.5,Red Yellow Podzolic,Wet,3.870000000000001,9.299386503067485,0.9964963503649635,0.4261141877637131
GALLE,1985,Yala,1924.0,29.6,19847.0,19648.0,26.2,27.96,24.8,1537.1,1537.1,182.0,17.52,677.93,4.5,Red Yellow Podzolic,Wet,3.16,8.399453551912568,0.9899234179766223,0.4407580781483649
GALLE,1986,Maha,2676.0,42.0,20196.0,20007.0,25.7,27.97,23.92,1201.7,1201.7,162.0,12.64,670.96,4.5,Red Yellow Podzolic,Wet,4.049999999999997,7.37239263803681,0.9905926622765757,0.557878107591253
GALLE,1986,Yala,2073.0,33.0,20454.0,20295.0,26.39,28.23,24.92,1243.3,1243.3,179.0,17.13,698.61,4.5,Red Yellow Podzolic,Wet,3.3099999999999987,6.907222222222222,0.9921779516010756,0.5614482038093708
